iter	Passed	Remaining
578	19892	14463
579	19947	14444
580	19984	14412
581	20050	14400
582	20086	14367
583	20129	14338
584	20170	14309
585	20215	14281
586	20250	14247
587	20292	14218
588	20329	14185
589	20365	14152
590	20402	14119
591	20442	14088
592	20480	14056
593	20519	14025
594	20548	13986
595	20589	13956
596	20636	13930
597	20653	13883
598	20695	13854
599	20721	13814
600	20762	13784
601	20804	13754
602	20827	13712
603	20874	13685
604	20914	13654
605	20975	13637
606	21022	13610
607	21061	13579
608	21112	13555
609	21153	13524
610	21194	13493
611	21246	13470
612	21265	13425
613	21307	13395
614	21348	13364
615	21389	13333
616	21428	13301
617	21469	13271
618	21510	13239
619	21552	13209
620	21593	13178
621	21606	13130
622	21645	13098
623	21687	13068
624	21707	13024
625	21749	12994
626	21782	12958
627	21820	12925
628	21857	12892
629	21892	12857
630	21923	12820
631	21962	12788
632	22002	12756
633	22046	12726
634	22085	12694
635	22128	12664
636	22167	12632
637	22195	12593
638	22215	12550
639	22250	12516
640	22286	12482
641	22329	12451
642	22369	12419
643	22392	12378
644	22410	12334
645	22448	12301
646	22485	12268
647	22509	12227
648	22548	12194
649	22584	12160
650	22608	12120
651	22649	12089
652	22690	12057
653	22730	12025
654	22738	11976
655	22778	11944
656	22810	11908
657	22849	11876
658	22887	11843
659	22922	11808
660	22961	11776
661	22997	11742
662	23036	11709
663	23067	11672
664	23106	11639
665	23162	11615
666	23200	11583
667	23242	11551
668	23284	11520
669	23332	11492
670	23368	11458
671	23385	11414
672	23430	11384
673	23466	11350
674	23504	11317
675	23540	11282
676	23576	11248
677	23611	11213
678	23649	11180
679	23687	11146
680	23727	11114
681	23762	11080
682	23800	11046
683	23814	11002
684	23836	10961
685	23871	10926
686	23909	10893
687	23947	10859
688	23989	10828
689	24003	10784
690	24045	10752
691	24090	10722
692	24129	10689
693	24166	10655
694	24183	10612
695	24220	10579
696	24261	10546
697	24303	10515
698	24339	10480
699	24376	10446
700	24399	10406
701	24436	10373
702	24469	10337
703	24505	10303
704	24541	10269
705	24580	10236
706	24609	10198
707	24640	10162
708	24675	10127
709	24716	10095
710	24752	10061
711	24805	10033
712	24841	9999
713	24864	9959
714	24904	9927
715	24947	9895
716	24993	9864
717	25033	9832
718	25070	9797
719	25139	9776
720	25191	9748
721	25241	9719
722	25283	9686
723	25327	9655
724	25367	9622
725	25407	9589
726	25451	9557
727	25491	9524
728	25528	9489
729	25565	9455
730	25605	9422
